date,account_name,account_id,spend_krw,impressions,clicks,conversions,attributed_revenue_krw,ctr,cpc_krw,cpm_krw,roas,extraction_mode,coverage_note
2026-06-08,entropy,1959825,63699,16540,46,0,,0.002781136638452237,1384.7608695652175,3851.2091898428052,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-07,entropy,1959825,68687,28323,74,0,,0.0026127175793524697,928.2027027027027,2425.1315185538256,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-06,entropy,1959825,75552,26984,67,0,,0.0024829528609546397,1127.641791044776,2799.8814112066407,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-05,entropy,1959825,72312,19924,51,0,,0.002559726962457338,1417.8823529411766,3629.3916884159808,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-04,entropy,1959825,58579,18154,75,0,,0.004131320921009144,781.0533333333333,3226.781976423929,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-03,entropy,1959825,54294,13858,59,0,,0.00425746861018906,920.2372881355932,3917.881368162794,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-02,entropy,1959825,39468,14095,46,0,,0.0032635686413621853,858,2800.141894288755,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-08,모란디파크,758799,20117,1900,57,0,,0.03,352.9298245614035,10587.894736842107,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-07,모란디파크,758799,16348,1088,40,0,,0.03676470588235294,408.7,15025.735294117647,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-06,모란디파크,758799,15016,1162,34,0,,0.029259896729776247,441.6470588235294,12922.547332185886,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-05,모란디파크,758799,0,132,0,0,,0,,0,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-04,모란디파크,758799,14986,818,28,0,,0.034229828850855744,535.2142857142857,18320.293398533006,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-03,모란디파크,758799,17695,1328,45,0,,0.0338855421686747,393.22222222222223,13324.548192771084,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-02,모란디파크,758799,13729,2423,35,0,,0.014444903012794058,392.25714285714287,5666.116384647132,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-08,entropy,1959825,0,0,0,0,,,,,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-07,entropy,1959825,0,0,0,0,,,,,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-06,entropy,1959825,0,0,0,0,,,,,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-05,entropy,1959825,0,0,0,0,,,,,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-04,entropy,1959825,0,0,0,0,,,,,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-03,entropy,1959825,0,0,0,0,,,,,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-02,entropy,1959825,0,0,0,0,,,,,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-08,모란디파크,758799,0,0,0,0,,,,,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-07,모란디파크,758799,0,0,0,0,,,,,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-06,모란디파크,758799,0,0,0,0,,,,,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-04,모란디파크,758799,0,0,0,0,,,,,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-03,모란디파크,758799,0,0,0,0,,,,,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
2026-06-02,모란디파크,758799,0,0,0,0,,,,,,manual_ui,Current manual files cover 2026-06-02 to 2026-06-08 only.
