dataset,rows,start,end,days
real_cafe24_orders,158022,2024-01-01,2026-06-10,892
real_cafe24_order_items,184547,2024-01-01,2026-06-10,892
cafe24_products,241,2021-06-09,2026-06-02,152
google_ads_customer_overview,3,,,0
google_ads_campaign_daily,1408,2024-01-01,2026-06-10,455
google_ads_ad_group_daily,1189,2024-10-08,2026-06-10,442
google_ads_ad_daily,1373,2024-10-08,2026-06-10,442
google_ads_search_terms,26935,2025-07-02,2026-06-10,292
meta_ads_overview,9,,,0
meta_ads_insights_daily,68460,2024-01-01,2026-06-10,892
meta_ads_entities,11749,,,0
naver_search_overview,2,,,0
naver_search_ad_stats,16060,2024-06-11,2026-06-10,730
naver_search_ad_entities,198,,,0
naver_gfa_manual_daily,27,2026-06-02,2026-06-08,7
naver_gfa_coverage,2,,,0
tiktok_business_overview,2,,,0
tiktok_business_daily,179,2026-01-23,2026-05-16,65
tiktok_business_campaigns,4,,,0
tiktok_business_adgroups,4,,,0
tiktok_business_ads,10,,,0
tiktok_business_audience,4,,,0
fx_rates,1188,2024-01-02,2026-06-10,594
